,Time (ns),X (A),Y (A)
0,4000.0,99.48222836581144,-138.4122323700876
1,4000.025,99.71132359360203,-137.67217832623106
2,4000.05,99.68967692057292,-137.41651962742662
3,4000.075,99.79031094637784,-138.42264117616597
4,4000.1,99.13850703383937,-138.1989736845999
5,4000.125,99.59369959975734,-138.67020161946616
6,4000.15,99.80064553925486,-138.66466360381156
7,4000.175,100.287753943241,-138.9287881562204
8,4000.2,100.80178555575284,-138.75911782004616
9,4000.225,99.91905143044211,-138.97432731859612
10,4000.25,99.8938559329871,-139.22893778483072
11,4000.275,99.81382034764145,-139.47299656723484
12,4000.3,99.11217521898675,-137.67987661650687
13,4000.325,100.06128738865708,-138.15823502974078
14,4000.35,98.7906810876095,-138.45191077030066
15,4000.375,100.32334021366003,-138.3452499852036
16,4000.4,99.22085270737156,-138.18135301994556
17,4000.425,100.6239330407345,-137.4429718942353
18,4000.45,101.00640938498758,-136.88257113370028
19,4000.475,100.73374384099787,-136.82309006199694
20,4000.5,100.07992784904711,-136.69020542953953
21,4000.525,100.59176473906545,-137.7986806233724
22,4000.55,100.15084677031545,-136.52721474387428
23,4000.575,100.13293919418797,-136.67146948612097
24,4000.6,100.10236404881333,-137.14516657049006
25,4000.625,100.65045952074456,-137.58992744214606
26,4000.65,100.69784985166608,-138.4625664913293
27,4000.675,101.17222687692353,-137.97309690533262
28,4000.7,100.69340214584813,-137.40581813003078
29,4000.725,100.4148730653705,-137.74405878240412
30,4000.75,100.0413256558505,-138.17090121182528
31,4000.775,101.38927136045514,-138.0282597397313
32,4000.8,100.98773817582564,-137.145244251598
33,4000.825,100.40099011045514,-136.50260462905422
34,4000.85,99.83815904097123,-136.41608683268228
35,4000.875,100.21197347929983,-135.86443583170572
36,4000.9,100.383500995058,-136.37847114331794
37,4000.925,99.59393148711233,-135.98903956557766
38,4000.95,99.15542903090969,-136.8168085271662
39,4000.975,98.92903645833333,-136.6836561723189
40,4001.0,98.8501284050219,-137.3199472138376
41,4001.025,99.54149095939867,-138.24473849209872
42,4001.05,99.13086839155717,-138.1263640432647
43,4001.075,99.45063504305753,-138.17464423902106
44,4001.1,99.16942110928622,-137.8048234419389
45,4001.125,98.57786652536103,-138.31460525050306
