,Tempo (ns),Lx (nm),Ly (nm),Lz (nm),Pxx (mN/nm2),s_Pxx (mN/nm2),Pyy (mN/nm2),s_Pyy (mN/nm2),Pzz (mN/nm2),s_Pzz (mN/nm2)
32,64,11.83685,11.83685,25.8332,-5.621566426943109,0.0267946733924252,-5.61412981168441,0.0254334763800227,0.0033005585565476,0.0230257348200487
33,66,11.95685,11.95685,25.8332,-5.651726867659685,0.0253580090811577,-5.650111232077038,0.0245038512457093,-0.0053808555689102,0.0231691630728857
34,68,12.07685,12.07685,25.8332,-5.667248492505151,0.0265042037571344,-5.699032687920674,0.0243896904887065,-0.0232720702152014,0.0225547296028208
35,70,12.19685,12.19685,25.8332,-5.690730523340202,0.0240175809669423,-5.679579819019001,0.0239022537414977,0.0145544367931547,0.0211692404585679
36,72,12.31685,12.31685,25.8332,-5.673678260531136,0.0229941168242834,-5.721110748131296,0.0243641392142777,0.0077988225560897,0.0207973499862172
37,74,12.43685,12.43685,25.8332,-5.520926660562614,0.0228381604725,-5.5654255121337,0.0236234492757729,-0.0083996023151327,0.0204768226315068
38,76,12.55685,12.55685,25.8332,-5.576926151436584,0.0229264907294068,-5.548071667622482,0.0237798767294849,0.0018077944081959,0.0206403962771258
39,78,12.67685,12.67685,25.8332,-5.551711842078755,0.0223823449299377,-5.531585639566163,0.0223275967483393,0.0195236460966117,0.0190798802746045
40,80,12.79685,12.79685,25.8332,-5.542297872332876,0.0218292619888089,-5.505285773188531,0.021616038357416,0.0034293195684523,0.0208294975834555
41,82,12.91685,12.91685,25.8332,-5.528508881209937,0.0229180446104452,-5.520275837419873,0.0223281409946774,-0.0187039582102793,0.0197174736177711
42,84,13.03685,13.03685,25.8332,-5.507381067024382,0.0212674381416908,-5.496367719425367,0.0210618561389419,-0.0220221955958104,0.0189493771027033
43,86,13.15685,13.15685,25.8332,-5.518835493149039,0.0211340551915351,-5.533955603202267,0.0212013175844778,-0.0082531175022893,0.0193324124929811
44,88,13.27685,13.27685,25.8332,-5.5466255035886,0.0209356964941418,-5.513631664294301,0.019341069148171,0.0242245831931089,0.0194180764988425
45,90,13.39685,13.39685,25.8332,-5.521070588936584,0.0197282903019939,-5.486801780706274,0.0200461841306417,0.012393206650641,0.0185969205379631
46,92,13.51685,13.51685,25.8332,-5.460317232191508,0.0188397425634671,-5.524985613238325,0.0187651126678147,-0.0419937048191391,0.0181281126324462
47,94,13.63685,13.63685,25.8332,-5.505737112703183,0.0189063411991654,-5.529139289858059,0.018527278116226,0.01064114566163,0.0186255768422964
48,96,13.75685,13.75685,25.8332,-5.480419659970238,0.0192036626890441,-5.460663241266026,0.0182039042626657,0.0139883026814331,0.016509481578342
49,98,13.87685,13.87685,25.8332,-5.465501069826007,0.0186183841763746,-5.479950800412088,0.0190281190947447,-0.0004250446628891,0.0160251603207028
50,101,13.99685,13.99685,25.8332,-5.480457566846956,0.0183416197718542,-5.513124014571887,0.0186185239354061,-0.0082919437471382,0.0171012339869875
51,103,13.87685,13.87685,25.8332,-5.482912471603137,0.0180342730266836,-5.484136247009501,0.0180184901105266,0.0074048678170787,0.0162626253648041
52,105,13.75685,13.75685,25.8332,-5.49668289005838,0.0183416494901319,-5.503202362339744,0.0187547597774061,-0.0202079620421245,0.0169822612252833
53,107,13.63685,13.63685,25.8332,-5.497283826539606,0.0191682388115469,-5.474319488948031,0.0185471723889572,-0.041819792691163,0.0184065888017338
54,109,13.51685,13.51685,25.8332,-5.462906041792583,0.0198530042052463,-5.486487296917926,0.0181064903957359,0.0195708057835393,0.0175553937162403
55,111,13.39685,13.39685,25.8332,-5.499197115991301,0.0201419807383492,-5.466016517264767,0.0193914801771245,0.0206424666266025,0.0173889919119042
56,113,13.27685,13.27685,25.8332,-5.504121884025871,0.0210176260640668,-5.506662313916552,0.0203959973347231,-0.0387216136046245,0.0173739785476036
57,115,13.15685,13.15685,25.8332,-5.532625682151443,0.0193412047136698,-5.515899603084936,0.019604319451977,-0.0182214273094093,0.0192013735681165
58,117,13.03685,13.03685,25.8332,-5.507750204850619,0.021680404438336,-5.497870364388737,0.0205278067055746,0.0109440340859661,0.0191536063038922
59,119,12.91685,12.91685,25.8332,-5.569772744199291,0.02166823058542,-5.562407980989584,0.0205598543163561,-0.017275352312271,0.0203170346057919
60,121,12.79685,12.79685,25.8332,-5.509336437291095,0.0217365168304745,-5.524677009552427,0.0215857893307185,-0.0143683541609432,0.0196851079887537
61,123,12.67685,12.67685,25.8332,-5.534058850071543,0.0224139487182527,-5.465933828402586,0.0224530531905728,0.0308067652844551,0.020688987204937
62,125,12.55685,12.55685,25.8332,-5.637483897195513,0.0227233443927242,-5.598271521651785,0.0227804746830497,0.05767886319826,0.0201460135528099
63,127,12.43685,12.43685,25.8332,-5.58057719305174,0.0222031290261281,-5.58585375121337,0.0236197753865539,-0.0278574526699862,0.0202194970993488
64,129,12.31685,12.31685,25.8332,-5.557008450915751,0.023486942393479,-5.594537335911745,0.0222275240980062,-0.0119940160657051,0.0209741549546984
65,131,12.19685,12.19685,25.8332,-5.639693032077038,0.0232621956865425,-5.641741181172733,0.0244552631540651,0.0232782891197344,0.0221924368945637
66,133,12.07685,12.07685,25.8332,-5.664206349648009,0.0239943359103213,-5.682426700864241,0.0231974918659303,0.0277315307778159,0.0225810534942295
